salaries|company|location|position
113000|National Oilwell Varco|Houston, TX|Lead Mechanical Engineer
92000|Chase|Houston, TX|.Net/Web Software Engineer
106000|Schlumberger|Sugar Land, TX|Software Engineer - Acquisition System
65000|IBM|Houston, TX|Software Developer - Intern/Coop
81000|Hewlett Packard Enterprise|Houston, TX|Software Quality Assurance Automation and Test
62000|PROLIM|Houston, TX|QA Automation and Performance Tester
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer - .NET/Web Software Engineer
94000|J.P. Morgan|Houston, TX|Java Software Engineer
132000|Slalom LLC.|Houston, TX|Solution Architect - Software Development
92000|Chase|Houston, TX|Software Engineer - .NET/Web Software Engineer
75000|National Oilwell Varco|Houston, TX|Automation Engineer
75000|Fugro|Houston, TX|Geotechnical Engineer
86000|Robert Half Technology|Houston, TX|Systems Engineer
52000|Jacobs Engineering|Houston, TX|Civil Engineering Intern
77000|EPAM|Houston, TX|Software Development Engineer (Go Language)
113000|Irvine Technology|Houston, TX|Senior Software Engineer (SaaS Product)
72000|Arthur Lawrence|Houston, TX|Software Engineer
124000|Genuent|Houston, TX|Data Scientist
82000|Cerner|Missouri City, TX|Software Engineer
94000|Sysco|Houston, TX|Software Engineer - Specialty Meats
108000|Chase|Houston, TX|Sr. Java/J2EE Software Engineer
105000|Emerson Electric Co|Houston, TX|Systems Lead Engineer
103000|Oracle|Houston, TX|Front-End Software Engineer (JoinOCI-Edge)
67000|GHD|Houston, TX|Electrical Engineer
66000|Worldwide Oilfield Machine Inc.|Houston, TX|Systems Engineer
84000|Avella Specialty Pharmacy|Houston, TX|QA Microbiologist / Validation Engineer
94000|J.P. Morgan|Houston, TX|Java Software Engineer - Front Office Devops
70000|Andiamo|Houston, TX|Software Engineer - $40 Billion Hedge Fund
79000|ChaiOne|Houston, TX|Freelance Software Engineer
120000|INSYS Group|Houston, TX|DevOps Engineer with Clouds experience
70000|K-Tek Resourcing LLC|Houston, TX|Software Engineer
88000|HCSS|Houston, TX|Senior Software Developer
94000|Advantech Solutions|Houston, TX|.Net Developer
106000|Hargrove Engineers + Constructors|Houston, TX|Controls + Automation Engineer - Foxboro and IT Support
117000|Chase|Houston, TX|Software Engineer Lead
89000|MAVERICK Technologies|Houston, TX|Engineer I
75000|National Oilwell Varco|Houston, TX|Software Test Automation Engineer
115000|JPMorgan Chase|Houston, TX|Senior Software Engineer - Big Data Python
104000|IBM|Houston, TX|Data Scientist - Intern/Coop
